09/18/2013 22:04:14, 2014001.68645 KB/s
09/18/2013 23:01:16, 2014717.22377 KB/s
09/18/2013 23:05:17, 2014796.08891 KB/s
09/19/2013 00:02:18, 2014646.50988 KB/s
09/19/2013 00:06:19, 2014854.86751 KB/s
09/19/2013 01:03:20, 2014224.5005 KB/s
09/19/2013 01:07:22, 2014242.09178 KB/s
09/19/2013 02:04:22, 2013777.86667 KB/s
09/19/2013 02:08:24, 2014259.6694 KB/s
09/19/2013 03:05:24, 2011519.1464 KB/s
09/19/2013 03:09:27, 2013789.52229 KB/s
09/19/2013 04:06:27, 1849310.75201 KB/s
09/19/2013 04:10:30, 2009718.56339 KB/s
09/19/2013 05:07:30, 2013567.42909 KB/s
09/19/2013 05:11:32, 2014111.28282 KB/s
09/19/2013 06:08:32, 2013437.11404 KB/s
09/19/2013 06:12:34, 2013517.78135 KB/s
09/19/2013 07:09:34, 2014281.78165 KB/s
09/19/2013 07:13:36, 2014072.49393 KB/s
09/19/2013 08:10:37, 2014601.52651 KB/s
09/19/2013 08:14:39, 2014259.04064 KB/s
09/19/2013 09:11:39, 2014176.99423 KB/s
09/19/2013 09:15:41, 2013737.24955 KB/s
09/19/2013 10:12:41, 2014798.77327 KB/s
09/19/2013 10:16:43, 2014809.97921 KB/s
09/19/2013 11:13:44, 2014779.84818 KB/s
09/19/2013 11:17:46, 2012461.18781 KB/s
09/19/2013 12:14:46, 2014826.02022 KB/s
09/19/2013 12:18:48, 2013131.32915 KB/s
09/19/2013 13:15:48, 2014820.93871 KB/s
09/19/2013 13:19:51, 2009256.13894 KB/s
09/19/2013 14:16:51, 2014819.82514 KB/s
09/19/2013 14:20:54, 2014539.38358 KB/s
09/19/2013 15:17:53, 2014746.76179 KB/s
09/19/2013 15:21:56, 2014753.56136 KB/s
09/19/2013 16:18:55, 2014707.74136 KB/s
09/19/2013 16:22:59, 2014814.59292 KB/s
09/19/2013 17:19:58, 2014728.86313 KB/s
09/19/2013 17:24:01, 2014805.89219 KB/s
09/19/2013 18:21:00, 2014527.20505 KB/s
09/19/2013 18:25:03, 2014605.22516 KB/s
09/19/2013 19:22:02, 2014815.82687 KB/s
09/19/2013 19:26:06, 2014817.191 KB/s
09/19/2013 20:23:05, 2014794.00834 KB/s
09/19/2013 20:27:08, 2014561.69498 KB/s
09/19/2013 21:24:07, 2014714.84901 KB/s
09/19/2013 21:28:10, 2014789.45465 KB/s
09/19/2013 22:25:10, 2012487.52401 KB/s
09/19/2013 22:29:13, 2014436.89146 KB/s
09/19/2013 23:26:12, 2014785.01863 KB/s
09/19/2013 23:30:15, 2014783.50941 KB/s
09/20/2013 00:27:15, 1987820.78593 KB/s
09/20/2013 00:31:18, 1988152.13409 KB/s
09/20/2013 01:28:17, 2013871.11344 KB/s
09/20/2013 01:32:20, 2012477.80209 KB/s
09/20/2013 02:29:19, 2014462.53046 KB/s
09/20/2013 02:33:24, 2013811.99799 KB/s
09/20/2013 03:30:22, 2014536.49525 KB/s
09/20/2013 03:34:26, 2013880.19914 KB/s
09/20/2013 04:31:24, 2010020.34252 KB/s
09/20/2013 04:35:27, 1897534.74004 KB/s
